Name,Meaning
Shreyas,Auspicious
Shriram,Lord Rama
Skanda,God of war
Surya,Sun
Tarun,Young
Tejas,Radiance
Uday,Rising
Udith,Rising sun
Vaayu,Wind
Vijay,Victory
Vikas,Development
Vinay,Humble
Vishal,Large
Vishnu,Preserver
Yogesh,Lord of Yoga
Yuvan,Youth
Zayan,Decoration
Aadi,Beginning
Aaditya,Sun
Aahil,Prince
Aamir,Leader
Aaran,Forest
Abeer,Fragrance
Abhi,Fearless
Abhimanyu,Son of Arjuna
Advait,Unique
Agni,Fire
Ahaan,Dawn
Aham,I am
Akhil,Whole
Akshay,Imperishable
Amay,Beautiful
Amish,Honest
Amit,Infinite
Amol,Priceless
Anand,Bliss
Anmol,Priceless
Anshul,Sunbeam
Anurag,Love
Apoorv,Unique
Aryaman,Sun god
Ashish,Blessing
Avi,The sun
Aviraj,King of the sky
Azad,Free
Badal,Cloud
Balan,Strength
Balraj,Royal strength
Bhavesh,Lord of the world
Chaksh,Eyes
Chanakya,Ancient sage
Chetan,Conscious
Darsh,Vision
Darpan,Mirror
Dev,God
Deven,Divine
Dhairya,Patience
Divyansh,Divine part
Eesh,God
Ehsaan,Kindness
Eklavya,Student of Dronacharya
Gaurang,Fair-complexioned
Gaurav,Pride
Govind,Protector of cows
Gulshan,Flower garden
Gunjan,Buzzing
Harsh,Joy
Harshil,Full of joy
Himanshu,Moon
Hridaan,Heart
Ishan,Sun god
Ishant,Sun
Jeet,Victory
Jivin,Lively
Kalpit,Imagined
Kartik,Son of Shiva
Ketan,Banner
Kiran,Ray of light
Kishan,Krishna
Kshitij,Horizon
Kunal,Lotus
Lakshay,Aim
Lakshit,Marked
Lalit,Beautiful
Luv,Son of Rama
Madhukar,Bee
Manav,Human
Manan,Thoughtful
Mitra,Friend
Mukul,Bud
Naksh,Star
Nakul,Most beloved
Naman,Salutation
Nilesh,Lord of blue
Nishant,End of night
Nitesh,Lord of the right way
Nivan,Humble
Paras,Philosopher's stone
Piyush,Ambrosia
Prabhav,Influence
Prahas,Laughter
Pranay,Love
Pranik,Vital
Prasoon,Flower bud
Pratham,First
Pratik,Symbol
Priyansh,Beloved part
Rajat,Silver
Rajveer,Royal hero
Ranbir,Warrior
Ranveer,Warrior hero
Raunak,Brightness
Riddhi,Prosperity
Ridhaan,Wise thinker
Ronit,Joyous
Rudhir,Blood
Rupin,Handsome
Rushil,Skilled
Saatvik,Pure
Sahil,Shore
Saksham,Capable
Sankalp,Resolution
Saransh,Essence
Sarthak,Meaningful
Saumya,Gentle
Shivansh,Part of Shiva
Shrey,Auspicious
Shreyansh,Best part
Shubham,Auspicious
Sumit,Well-wisher
Swayam,Self
Tanish,Desire
Tanmay,Full of vitality
Tanveer,Embodiment
Taran,Savior
Udai,Rising
Ujjwal,Bright
Umang,Enthusiasm
Utkarsh,Excellence
Vaibhav,Glory
Vandan,Worship
Varan,Blessing
Viraj,Splendor
Yug,Era
Akira,Bright
Haruki,Shining sun
Yuki,Snow
Kazuki,Harmonious hope
Ryu,Dragon
Hiroshi,Generous
Takashi,Prosperity
Daiki,Great tree
Kenji,Intelligent second son
Shota,Soaring big
Yuto,Gentle person
Ren,Lotus
Sora,Sky
Kenta,Healthy and strong
Hiro,Generous
Minoru,Truth
Ichiro,First son
Jiro,Second son
Saburo,Third son
Taro,Eldest son
Hideki,Excellence
Isamu,Courage
Jun,Obedient
Katsu,Victory
Mamoru,Protect
Naoki,Honest tree
Osamu,Discipline
Raiden,Thunder and lightning
Satoshi,Clear-thinking
Tadashi,Correct
Yuuki,Courage
Zenko,Good child
Akio,Bright man
Daisuke,Great help
Eiji,Prosperous peace
Fumio,Literary scholar
Goro,Fifth son
Hachiro,Eighth son
Ichirou,First son
Juro,Tenth son
Kaito,Sea and fly
Masaru,Victory
Noboru,Ascend
Riku,Land
Shigeru,Luxuriant
Takehiko,Bamboo prince
Ume,Plum
Wataru,Navigate
Yoshio,Righteous man
Zen,Meditation
Jae-hoon,Respected and meritorious
Min-jun,Clever and handsome
Sung-min,Accomplish brightness
Ji-hoon,Wish and favor
Hyun-woo,Clever and brave
Seung-hyun,Inherit and shine
Dong-hyun,East and virtuous
Tae-hyun,Great and virtuous
Joon-ho,Talented and good
Sung-hoon,Accomplish and meritorious
Hae-won,Sun and first
Jae-sung,Talented and accomplished
Min-soo,People and water
Sang-hoon,Each other and meritorious
Yeong-ho,Eternal and good
Yong-jae,Dragon and talent
Woo-jin,Friendly and treasure
Jae-hyun,Talented and virtuous
Soo-hyun,Outstanding and virtuous
Kyung-soo,Respect and long life
Jin-woo,Precious and brave
Seok-jin,Stone and treasure
Tae-yong,Great and brave
Hee-chul,Joyous and lofty
Dong-hae,East and sea
Yoon-gi,Allow and rise
Ho-seok,Tiger and stone
Nam-joon,South and talented
Jimin,Wisdom and quickness
Taehyung,Great and prosperous
Jung-kook,Righteous and nation
Sehun,World and favor
Chanyeol,Brilliant and radiant
Baekhyun,White and virtuous
Jongin,Treasured and benevolent
Kyungsoo,Respect and long life
Minho,Clever and tiger
Taemin,Great and clever
Jinwoo,Precious and brave
Seungri,Victory and advantage
Daesung,Great and prosperous
Seunghyun,Inherit and shine
Jiyong,Will and dragon
Hoseok,Tiger and stone
Yoongi,Allow and rise
Namjoon,South and talented
Jungkook,Righteous and nation
Li Wei,Strength and greatness
Zhang Wei,Prosperous and great
Wang Fang,Fragrant king
Chen Xiang,Morning fragrance
Liu Yang,Willow and poplar
Huang Lei,Yellow thunder
Zhou Jie,Encompassing and outstanding
Wu Qiang,Martial and strong
Xu Hui,Distinguished and intelligent
Sun Tao,Great wave
Feng Xiao,Phoenix and dawn
Yang Ming,Bright sun
Zhao Yun,Cloudy and lucky
Guo Jing,State and essence
Deng Chao,Prosperous and surpassing
Han Xin,Han state and trust
Cao Yu,Cao state and universe
Tang Yin,Tang state and silver
Luo Yi,Luo river and righteous
Zhu Zhen,Vermilion and precious
Qian Kun,Heaven and earth
Wen Ning,Cultured and peaceful
Nie Huaisang,Nie state and deep thought
Jiang Cheng,River and honest
Lan Xichen,Orchid and joyous
Jin Guangyao,Gold and esteemed
Xiao Xingchen,Little stars
Song Lan,Pine tree and orchid
Xue Yang,Snow and poplar
Xie Lian,Thanks and lotus
Hua Cheng,Flower and sincerity
Shi Qingxuan,Stone and clear spring
He Xuan,River and jade
Pei Ming,Luxuriant and bright
Ling Wen,Spirit and culture
Mu Qing,Wood and clear
Feng Xin,Phoenix and trust
Nan Feng,South wind
Fu Yao,Prosperity and precious jade
Quan Yizhen,Spring and righteous
Yin Yu,Silver and jade
Lang Qianqiu,Wolf and thousand autumns
Yu Shengyan,Jade and holy flame
Bai Fengjiu,White phoenix wine
Dong Hua,Winter flower
Zhe Yan,Wise swallow
Jing Beiyuan,Crystal jade garden
Li Jinglong,Strength and dragon
Mo Ran,Ink dye
Chu Wanning,To store and peaceful
Shen Qiao,Deep and tall
Yan Wushi,Swallow and martial expert
Cui Buqu,Emerald and undefeated
Feng Changqing,Phoenix and celebration
Xie Bi'an,Thanks and jade tablet
Fan Xian,Sail and immortal
Lin Shu,Forest and book
Mei Changsu,Plum blossom and long summer
Xiao Jingyan,Dawn and golden rock
Xiao Jingrui,Dawn and auspicious
Yan Yujin,Swallow and jade brocade
Nie Zonghui,Nie state and wise
Fei Liu,Flying willow
Zhangjing,Chief and quiet
Lin Yanjun,Forest and handsome
You Zhangjing,Excellent and quiet
Huang Kunhang,Yellow and grand
Wang Linkai,King and open
Chen Linong,Morning and agriculture
Cai Xukun,Colorful and educated
Fan Chengcheng,Sail and sincere
Zhu Zhengting,Vermilion and upright
Justin Huang,Just and yellow
Xiao Zhan,Dawn and battle
Wang Yibo,King and jade waves
Wei Wuxian,Majestic and immortal
Lan Wangji,Orchid and rule
Jin Ling,Gold and bell
Wen Qing,Cultured and clear
Jiang Yanli,River and beautiful
Luo Binghe,Luo river and ice river
Shen Qingqiu,Deep and autumn hill
Liu Qingge,Willow and clear song
Ning Yingying,Peaceful and flower-like
Shang Qinghua,Reward and clear flower
Mobei Jun,Silent north ruler
Shi Qing,
Aadav,The Sun
Aadith,First
Aagam,Scripture
Aagney,Fire
Aahan,Dawn
Aahva,Call
Aakaar,Shape
Aanan,Face
Aashish,Blessing
Aatmaj,Son
Abhinav,New
Agnivesh,Lord of Fire
Ahamkar,Ego
Ahobala,Mighty
Ajit,Invincible
Alok,Light
Amith,Infinite
Amogha,Unfailing
Amruth,Immortal
Anagh,Sinless
Anjaneya,Lord Hanuman
Ashok,Without sorrow
Ashwin,Horse rider
Atreya,Son of Atri
Balachandra,Young moon
Basava,Bull
Bhima,Formidable
Bhoopati,Lord of the Earth
Chakrapani,Holder of the discus
Chandran,Moon
Charan,Feet
Deepak,Lamp
Dhananjay,Winner of wealth
Divyesh,Lord of heaven
Dushyant,Destroyer of evil
Guru,Teacher
Hridik,Heart
Ishwar,God
Jagannath,Lord of the universe
Janardan,One who is worshipped by people
Jeevan,Life
Kalki,Tenth avatar of Vishnu
Kalpesh,Lord of ages
Kamal,Lotus
Kannan,Lord Krishna
Kartikeya,Son of Lord Shiva
Lingesh,Lord Shiva
Lokesh,Lord of the world
Madhur,Sweet
Mayur,Peacock
Mohan,Charming
Nandan,Son
Narain,Lord Vishnu
Neelkanth,Blue throated (Lord Shiva)
Niranjan,Without blemish
Nitin,Ethical
Pallav,Sprout
Param,Supreme
Pavan,Wind
Prabhu,Lord
Pradeep,Lamp
Prakat,Manifest
Pramukh,Chief
Praveen,Expert
Prem,Love
Pritam,Beloved
Pulkit,Joyous
Purushottam,Best among men
Rajesh,King of kings
Rakesh,Lord of the full moon day
Raman,Pleasing
Ramesh,Lord Rama
Ranjit,Victorious in battle
Rishabh,Bull
Rohit,Red
Sachin,Pure
Sagar,Ocean
Sandeep,Lamp
Satya,Truth
Saurabh,Fragrance
Shankara,Lord Shiva
Shashank,Moon
Shivam,Lord Shiva
Shrinivas,Abode of Lakshmi
Sudhir,Wise
Sumedh,Good intelligence
Sunil,Dark blue
Suraj,Sun
Swami,Master
Udaya,Rising
Udit,Rising sun
Vedant,Ultimate knowledge
Vibhav,Wealth
Vidhaan,Rule
Vidur,Wise
Vimal,Pure
Vineeth,Learned
Vinod,Happy
Vipul,Abundant
Vishwas,Trust
Vivek,Wisdom
Jackson,Son of Jack
Mateo,Gift of God
Aiden,Fiery
Wyatt,Brave in war
Hudson,Son of Hugh
Carter,Cart driver
Luca,Bringer of light
Dylan,Son of the sea
Lincoln,Settlement by the pool
Maverick,Independent
Elias,Yahweh is God
Jaxon,Son of Jack
Nolan,Champion
Cameron,Crooked nose
Santiago,Saint James
Angel,Messenger
Cooper,Barrel maker
Waylon,Land beside the road
Easton,East-facing place
Kai,Sea
Landon,Long hill
Colton,From the coal town
Axel,Father of peace
Brooks,Of the brook
Jameson,Son of James
Everett,Brave as a wild boar
Greyson,Son of the gray-haired one
Wesley,Western meadow
Jeremiah,Appointed by God
Hunter,One who hunts
Leonardo,Brave lion
Jose,God will add
Bennett,Blessed
Beau,Handsome
Weston,Western town
Austin,Great
Connor,Lover of hounds
Carson,Son of the marsh-dwellers
Xavier,New house
Jaxson,Son of Jack
Kaiden,Companion
Kyrie,Lord
Memphis,Enduring and beautiful
Jace,Healer
Emmett,Universal
Ryder,Cavalryman
Kingston,King's town
Zane,God is gracious
Damian,To tame
Crew,Chariot
Calvin,Bald
Killian,Church
Finnegan,Fair-haired
Tate,Cheerful
Chance,Good fortune
Kamden,Enclosed valley
Lane,Small pathway
Hendrix,Son of Henrik
Atlas,To carry
Andres,Manly
Milo,Soldier or merciful
Dante,Enduring
Angelo,Angel messenger
Atticus,From Attica
Kaden,Companion
Rhett,Advice
Brody,Ditch
Koa,Warrior
Iker,Visit
Rowan,Little red one
Finn,Fair
Kellen,Slender
Caden,Spirit of battle
Arlo,Fortified hill
Giovanni,God is gracious
Gunner,Bold warrior
Walker,Fuller of cloth
Malachi,My messenger
Nicolas,Victory of the people
Brady,Spirited
Beckett,Bee cottage
Amari,Strength
Jorge,Farmer
Holden,Deep valley
Dallas,Skilled
Nash,By the ash tree
Phoenix,Dark red
Apollo,Destroyer
Prince,First or chief
Nico,People of victory
Reign,Sovereign
Callum,Dove
Orion,Hunter
Ezequiel,God strengthens
Cruz,Cross
Bryce,Speckled
Uriel,God is my light
Adonis,Lord
Dorian,Of Doris
Kian,Ancient
Keanu,Cool breeze over the mountains
Cyrus,Sun
Nehemiah,Comforted by God
Khalil,Friend
Leonel,Young lion
Zeke,God strengthens
Asa,Healer
Tyson,Firebrand
Jayce,Healer
Theo,Gift of God
Jett,Black stone
Kyler,Bowman archer
Caiden,Fighter
Karson,Son of the marsh-dwellers
Romeo,Pilgrim to Rome
Eden,Delight
Rocco,Rest
Ronan,Little seal
Adrien,From Hadria
Kylo,Sky
Madden,Little dog
Brian,Noble
Colt,Young horse
Frank,Frenchman or free man
Zander,Defender of mankind
Maximilian,Greatest
Ryker,Rich
Tatum,Cheerful bringer of joy
Kobe,God's door
Omar,Flourishing
Zayden,Increase
August,Great magnificent
Jayceon,Healer
Brantley,Fiery
Travis,Crossing
Dominick,Of the Lord
Daxton,Warrior who conquers
Adriel,Flock of God
Lawson,Son of Lawrence
Enzo,Ruler of the household
Rory,Red king
Cade,Round
Damon,To tame subdue
Devin,Poet
Gianni,God is gracious
Muhammad,Praiseworthy
Ronald,Ruler's counselor
Abdiel,Servant of God
Casey,Vigilant
Warren,Park keeper
Sullivan,Dark-eyed
Sterling,Genuine of high quality
Forrest,Dweller by the woods
Bruno,Brown
Sage,Wise
Maximus,Greatest
Yusuf,God increases
Cole,Swarthy dark
Titus,Title of honor
Zackary,Remembered by God
Anderson,Son of Andrew
Harvey,Battle worthy
Jax,God is gracious
Mario,Mars (god of war)
Thaddeus,Gift of God
Axton,Sword stone
Briggs,Bridges
Collin,Young creature
Ellis,Benevolent
Kayson,Son of Kay
Reed,Red-haired
Seamus,Supplanter
Stetson,Son of Stet
Caspian,From Caspia
Kellan,Slender
Guillermo,Resolute protection
Kash,Universe
Remington,Settlement by a stream
Baylor,Cloth maker
Koda,Friend
Kaiser,Emperor
Odin,Frenzy ecstasy
Jessie,Gift
Dariel,God is my judge
Khari,Kingly
Clay,Mortal
Khalid,Eternal
Landyn,Long hill
Zayne,God is gracious
Byron,Barn for cows
Jaxxon,Son of Jack
Reese,Ardor
Zaiden,Increase
Fox,Fox
Fabian,Bean grower
Flynn,Son of the red-haired one
Harley,Hare's meadow
Marcus,Warlike
Cason,Clever
Joaquin,God will judge
Wade,To go
Alec,Defender of mankind
Soren,Stern
Yosef,God will add
Benson,Son of Ben
Beckham,Homestead by the stream
Lachlan,From the land of lakes
Preston,Priest's town
Jedidiah,Beloved of the Lord
Zyaire,God is my light
Darius,Possessing goodness
Reginald,Counsel power
Ronin,Samurai without a master
Ricky,Powerful ruler
Ariel,Lion of God
Kade,Fourth-born
Kye,Narrow
Dayton,Town of David
Santino,Little saint
Lennon,Lover
Kaison,Son of Kai
Dax,Water
Ace,Unity
Makai,By the sea
Kannon,Buddhist goddess of mercy
Murphy,Sea warrior
Fletcher,Arrow maker
Lucian,Light
Arian,Water
Kyson,Son of Ky
Sincere,Genuine
Aron,Mountain of strength
Kylan,Narrow
Ayan,Gift from God
Branson,Son of the raven
Crosby,Town with crosses
Dash,From Dashiell
Gustavo,Staff of the Goths
Leandro,Lion man
Remy,Oarsman
Sutton,Southern homestead
Cullen,Handsome
Anders,Manly
Aydin,Enlightened
Braydon,Brave
Cian,Ancient
Cory,Hollow
Esteban,Crown
Keaton,Place of hawks
Matthias,Gift of God
Stefan,Crown
Xander,Defender of mankind
Zavier,New house
Alfonso,Noble and ready
Brantlee,Fiery meadow
Callen,Rock
Jamal,Beauty
Kristian,Follower of Christ
Lucca,Bringer of light
Mack,Son of
Thiago,Supplanter
Alden,Old wise friend
Davion,Beloved
Emmitt,Universal
Rey,King
Yehuda,Praise
Azariah,Helped by God
Bowie,Yellow-haired
Ernesto,Serious
Hakeem,Wise
Legend,Story
Alexis,Helper defender
Ares,God of war
Boone,Good blessing
Cayden,Spirit of battle
Fisher,Fisherman
Harper,Harp player
Jensen,Son of Jens
Princeton,Principal town
Royce,Son of the king
Alfredo,Elf counsel
Anakin,Warrior
Dexter,Right-handed skilled
Emiliano,Work
Ford,Dweller by the ford
Hank,Estate ruler
Kase,Alert vigilant
Braden,Broad
Clyde,Warm
Kole,Victory of the people
Marvin,Sea friend
Zaid,Abundance
Archie,Truly brave
Brodie,Ditch
Canaan,Lowland
Damir,Gives peace
Kareem,Noble generous
Landry,Ruler
Miller,Grinder of grain
Nasir,Helper protector
Brock,Badger
Chaim,Life
Denver,Green valley
Grady,Noble
Jericho,City of the moon
Luciano,Light
Nikolas,Victory of the people
Quincy,Estate of the fifth son
Talon,Claw
Aadil,Just or righteous
Ehsan,Compassion or kindness
Faisal,Decisive
Irfan,Knowledge or awareness
Junaid,Warrior
Nadeem,Friend or companion
Suhail,Star in Orion constellation
Arham,Worthy of worship
Jain,Follower of Jainism
Mahavir,Great warrior
Appaiah,Father
Biddappa,Father from the Bidda clan
Chengappa,Father from the Chenga clan
Kuttappa,Short one
Machaiah,Son of the soil
Muthanna,Pearl
Nanjappa,Father from the Nanja clan
Ponnappa,Father of gold
Abidemi,Born during father's absence
Adeben,Child born after a long wait
Azizi,Precious
Bakari,Noble promise
Chidi,God exists
Dayo,Joy arrives
Ekundayo,Sorrow becomes joy
Faraji,Comfort
Gamba,Warrior
Hassani,Handsome
Imamu,Spiritual leader
Jelani,Powerful
Kamau,Quiet warrior
Lencho,Lion
Mosi,First born
Nnamdi,My father is alive
Oluwaseun,God has done this
Paki,Witness
Rudo,Love
Aadila,Just
Abagun,We beg God
Abayomi,He brings joy
Abebe,Flower
Abiodun,Born during a festival
Aboseh,First son
Abubakari,Father of the young camel
Achebe,May God protect
Adebowale,Crown comes home
Adekunle,Crown fills the house
Adeleke,The crown has added to my greatness
Ademola,Crown of wealth
Adisa,One who is clear
Afolabi,Born into wealth
Agbedidi,We ask for long life
Ahadi,Promise
Ahmadu,Most praised
Akin,Brave man
Akintunde,Warrior returns
Akuchi,God's wealth
Alade,Crown has arrived
Amadi,Seems to be immortal
Amani,Peace
Antar,Brave warrior
Anyim,My father lives
Arinze,One who is complete
Asante,Thank you
Ayinde,We gave praise and he came
Azubuike,The past is our strength
Babajide,Father has come back
Babatunde,Father has returned
Badru,Full moon
Bamidele,Follow me home
Berhane,My light
Biru,Born at dusk
Boipelo,Proud
Bongani,Grateful
Buhle,Handsome
Busara,Wisdom
Buziba,Sun
Chacha,Twin
Chibueze,God is the king
Chidiebere,God is the merciful
Chike,Power of God
Chimaobi,God fights for me
Chinedu,God leads
Chinua,May God fight for us
Chiokike,God's creation
Chiumbo,Small intestine
Chizoba,God protect us
Dakarai,Happiness
Dalitso,Blessing
Dejen,Firm
Dembe,Peace
Diallo,Bold
Djimon,Blood
Dumi,Famous
Emeka,God has done great
Enzi,Power
Eze,King
Femi,Love me
Folami,Respect and honor me
Gatura,Helper
Gedi,Precious stone
Gueye,Baobab tree
Gyasi,Wonderful
Haji,Pilgrim
Hasan,Handsome
Hodari,Strong
Ibe,Visitor
Idowu,Born after twins
Issa,God is salvation
Jabari,Brave
Jengo,Building
Jomo,Burning spear
Kabelo,Gift
Kagiso,Peace
Kande,Firstborn son
Kayin,Long-awaited child
Kenzo,Wise
Kibwe,Blessed
Kofi,Born on Friday
Kwame,Born on Saturday
Kwasi,Born on Sunday
Lamine,Trustworthy
Lekan,Wealth increases
Lutalo,Warrior
Maalik,King
Abiel,God is my father
Abishai,Gift of God
Agnelo,Lamb
Albert,Noble bright
Aldrich,Old ruler
Alex,Defender of mankind
Alfred,Wise counselor
Alister,Defender of mankind
Aloysius,Famous warrior
Alphonso,Noble ready
Alric,Ruler of all
Alston,Noble stone
Alton,Old town
Alvin,Noble friend
Amar,Immortal
Andre,Manly
Antonio,Priceless
